id;name;kanjiName;romajiName;englishLiteralName;englishTvName;description;picture;symbol
1;Amegakure;雨隠れの里;Amegakure no Sato;Village Hidden by Rain;The Village Hidden in the Rain;"Amegakure (雨隠れの里, Amegakure no Sato, literally meaning: Village Hidden by Rain) is a small but highly industrialised hidden village located in an unnamed country. As its name suggests, it rains almost constantly in Amegakure and the surrounding area. All the water seemingly ends in a large lake that surrounds the village. 
Ame ninja are said to be notoriously short tempered, while their village trains them to their fullest potential, resulting in the creation of many original techniques. Ame is frequently hired for assassination missions, an area of expertise prized by many countries. A common trait of shinobi from this village is wearing rebreathers. Its shinobi also have a propensity for genjutsu.";amegakure.png;amegakure_symbol.svg
2;Bamboo Village;竹ノ村;Take no Mura;Bamboo Village;The Bamboo Village;The Bamboo Village (竹ノ村, Take no Mura) is a small village in the Land of Hot Water. It is surrounded by a forest of bamboo, and as such most of the village's buildings and goods are made out of bamboo. Because it is such a remote village, the villagers received aid from the Lightning Group in the past. When the Lightning Group came into conflict with Kirigakure, its surviving members sought refuge in Bamboo Village. The villagers refused to help them, fearing reprisal from Kiri. Years later, this rejection of the Lightning Group causes Bamboo Village to be attacked by the Dark Thunder Group, but the village is saved by Sasuke Uchiha.;bamboo_village.png;
3;Ceramic Village;陶の里;Chori no Sato;Ceramic Village;The Ceramic Village;"The Ceramic Village (陶の里, Chori no Sato) was a small village in the Land of Wind, near the border with the Land of Rivers. The area surrounding the village was not as barren as most of the country, being well-forested. Per its name, the village was famous for its ceramics, the clay for which was gathered from the surrounding area. Ceramic tiles adorned all of the village's buildings and tall chimneys for kilns were common throughout.
The Ceramic Village was historically led by a family of ""Ceramics Gods"" (??, Chori Kami), who lived in a large mansion in the village's centre. These Ceramics Gods gathered the best innovations of the village's ceramists and kept them safe, kept them secret. These Ceramics Gods also tended to dictate the village's artistic standards. Under Mash?, the village became famous for its Hanasaki style, marked by its simple appearance yet exquisite beauty. When the special clay used for Hanasaki started to run out, Mash? was unwilling to compromise his artistic standards, threatening to ruin the village once the clay inevitably ran out.
To save the village, Mash?'s son, G?sh?, secretly killed his father and all the other Hanasaki ceramists, telling everyone they'd abandoned the village. He hid the remaining supply of Hanasaki clay, forcing the village to pursue new art styles. Under G?sh?, the village's ceramics became extremely ornate, luxurious, and colorful. Although the village prospered, gathering much more fame and business than it ever had before, some believed its new ceramics had no artistic value. G?sh? didn't consider this a problem, feeling that art that didn't sell wasn't worth pursuing.
Ten years after Mash?'s death, Sasori and Deidara of Akatsuki travelled to Ceramic Village to seek out the clay used in the Hanasaki style. In the course of doing so the village was destroyed by Deidara's C2. Only Kany?, the last practitioner of Hanasaki, survived.";;
4;Curtain Village;幄の里;Tobari no Sato;Curtain Village;The Curtain Village;"Curtain Village (幄の里, Tobari no Sato) is the capital of the Land of Silence. The city hosts the only black market in the region. The majority of its citizens live in poverty and crime; many former shinobi sell their headbands in exchange for money, while a select few nobility are afforded everything they want. The village is also swarmed with criminals and figures from Konohagakure's Bingo Book. In the middle of the village is Fush? Castle.";curtain_village.png;
5;Daidai Village;橙村;Daidai-mura;Daidai Village;The Daidai Village;Daidai Village (橙村, Daidai-mura) is a small village inhabited by the members of the Yoimura Clan.;daidai_village.png;
6;Genjutsu Tree Village;;;;;This unnamed village is hidden among special trees that produce a genjutsu-like effect, thus protecting the village from invaders. Naruto and Jiraiya came to the village to hone Naruto's genjutsu-repelling abilities. Villagers use Chilli Pepper Bombs to counter the genjutsu-like effects. There, they encountered Kandachi and his helpers. With the help of Tanishi, Naruto and Jiraiya managed to defeat their foe.;village_hidden_in_genjutsu_trees.png;
7;Hachō Village;ハチョウ村;Hachō-mura;;;The Hachō Village (ハチョウ村, Hachō-mura) is a village lying on the outskirts of the border of the Land of Fire. They are on very friendly terms with the Tonika Village. When the village was attacked by Kabuto Yakushi in his attempt to gain access to The Hole, the villagers that were able to survive all fled to this village and the Hachō Village later sent officers to help guard the ruined village. Disonasu, the village head also went to the Tonika Village to aid in the village's rehabilitation.;hacho_village.png;
8;Hoshigakure;;;;;;;
9;Howling Wolf Village;;;;;;;
10;Inaho Village;;;;;;;
11;Ishigakure;;;;;;;
12;Iwagakure;;;;;;;
13;Jōmae Village;;;;;;;
14;Kagerō Village;;;;;;;
15;Kirigakure;;;;;;;
16;Kisaragi Village;;;;;;;
17;Konohagakure;???????;Konohagakure no Sato;Village Hidden by Tree Leaves;The Village Hidden in the Leaves;"Konohagakure (???????, Konohagakure no Sato, English TV: ""Village Hidden in the Leaves"" or ""Hidden Leaf Village"", literally meaning: Village Hidden by Tree Leaves) is the hidden village of the Land of Fire. As the village of one of the Five Great Shinobi Countries, Konohagakure has a Kage as its leader known as the Hokage, of which there have been seven in its history. Konoha resides deep within a forest at the base of a mountain known as the Hokage Rock, which has the faces of all those who have taken the office of Hokage engraved on it. It is surrounded on all sides by enormous walls. While generally seen as the most powerful of the ninja villages, Konoha has enjoyed many years of relative peace and stability.
The standard attire for Konoha shinobi consists of blue or black shirts which may or may not have swirl patterns on the shoulders, along with matching coloured pants under a green flak jacket which also has a red swirl on the back, and pockets on the chest area. They also tend to wrap bandages around their legs. Many Konohagakure ninja use Fire Release techniques.";konohagakure.png;konohagakure_symbol.svg
